genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_1739|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,MEG_1739|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,3123,1706143,1709265,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_9994|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,MEG_9994|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,2508,48906,51413,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_1757|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,MEG_1757|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,1260,380868,382127,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_4317|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,MEG_4317|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,1968,403175,405142,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,228,405167,405394,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,576,1827245,1827820,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,433,1255962,1256394,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG,MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG,447,1470888,1471334,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_7846|Metals|Zinc_resistance|Zinc_resistance_protein|ZEVB,MEG_7846|Metals|Zinc_resistance|Zinc_resistance_protein|ZEVB,969,1953456,1954424,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_3027|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,MEG_3027|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,402,367386,367787,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,1089,887914,889002,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,354,890886,891239,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_1907|Drugs|betalactams|Class_C_betalactamases|CMY,MEG_1907|Drugs|betalactams|Class_C_betalactamases|CMY,1146,1184032,1185177,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_3768|Drugs|betalactams|Penicillin_binding_protein|MECA,MEG_3768|Drugs|betalactams|Penicillin_binding_protein|MECA,2001,1431193,1433193,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,864,1484815,1485678,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_1755|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,MEG_1755|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,1260,1679177,1680436,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_5971|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5971|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,681,1680697,1681377,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_1578|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,MEG_1578|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,660,1682198,1682857,+
