genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,1209,1706143,1707351,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_7785|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB,MEG_7785|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB,3162,48906,52067,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_7092|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,MEG_7092|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,1383,381522,382904,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_11241|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_11241|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,420,403952,404371,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_3616|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,MEG_3616|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,846,404396,405241,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_4083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,MEG_4083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,3204,1827092,1830295,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_1978|Drugs|betalactams|Class_C_betalactamases|CMY,MEG_1978|Drugs|betalactams|Class_C_betalactamases|CMY,1230,1255962,1257191,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_2917|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,MEG_2917|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,1215,1471685,1472899,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,414,1955021,1955434,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_10588|Drugs|betalactams|Class_A_betalactamases|OKP,MEG_10588|Drugs|betalactams|Class_A_betalactamases|OKP,861,367386,368246,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_3576|Drugs|betalactams|Class_A_betalactamases|LEN,MEG_3576|Drugs|betalactams|Class_A_betalactamases|LEN,822,888373,889194,+
