SNP_accession,S021_rd100m_R01_100bp_97ani_V4Full,S022_rd100m_R02_100bp_97ani_V4Full,S023_rd100m_R03_100bp_97ani_V4Full,S024_rd100m_R04_100bp_97ani_V4Full,S025_rd100m_R05_100bp_97ani_V4Full,S026_rd100m_R06_100bp_97ani_V4Full,S027_rd100m_R07_100bp_97ani_V4Full,S028_rd100m_R08_100bp_97ani_V4Full,S029_rd100m_R09_100bp_97ani_V4Full,S030_rd100m_R10_100bp_97ani_V4Full
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_327_C,9,3,3,0,2,0,7,16,3,5
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_412_C,4,4,3,1,1,0,2,8,2,1
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_508_G,5,20,2,1,3,6,2,9,2,5
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_525_G,95,580,45,53,40,174,56,208,54,149
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_670_G,13,11,15,4,1,1,21,30,9,6
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_722_C,7,7,12,3,0,1,7,14,8,2
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_801_C,10,8,9,2,2,0,7,22,10,7
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_874_C,19,127,8,14,8,30,8,37,11,31
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1102_T,29,110,6,6,3,22,11,31,11,22
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1288_C,69,80,62,17,20,10,123,234,37,85
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1320_C,37,45,35,11,13,7,74,135,24,53
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_1338_G,10,8,1,4,1,1,6,7,3,5
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1379_T,20,14,10,2,6,6,21,43,12,16
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1415_C,5,4,1,1,0,3,4,1,0,2
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_G_1453_A,113,485,53,40,35,123,92,282,72,178
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1470_T,12,24,12,2,2,0,34,61,8,21
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_C_315_T,0,0,2,0,1,4,0,1,3,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_406_C,0,2,10,1,5,10,0,2,14,1
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_434_G,0,1,1,0,0,3,0,1,0,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_724_A,0,0,3,0,1,2,0,4,1,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_A_736_C,0,0,3,0,1,2,0,4,1,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_A_739_C,0,0,3,0,1,2,0,4,1,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_910_A,0,7,22,2,3,26,0,5,25,0
