header,type,class,mechanism,group,snp
MEG_991|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,
MEG_743|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,
MEG_365|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME,
MEG_881|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_920|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_812|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_964|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_178|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_816|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_756|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,
MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_10165|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_906|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_10163|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_1034|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_899|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_968|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
