genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,354,1706143,1706496,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_2036|Metals|Copper_resistance|Copper_resistance_protein|COPB,MEG_2036|Metals|Copper_resistance|Copper_resistance_protein|COPB,855,48906,49760,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_11331|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,MEG_11331|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,366,379215,379580,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,1551,400628,402178,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_7555|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,MEG_7555|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,609,402203,402811,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,213,1824662,1824874,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_7593|Drugs|Glycopeptides|VanA-type_accessory_protein|VANYA,MEG_7593|Drugs|Glycopeptides|VanA-type_accessory_protein|VANYA,591,1255962,1256552,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_3872|Metals|Mercury_resistance|Mercury_resistance_protein|MERH,MEG_3872|Metals|Mercury_resistance|Mercury_resistance_protein|MERH,516,1471046,1471561,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_11457|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_11457|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1623,1953683,1955305,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,795,367386,368180,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,1569,888307,889875,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_11454|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_11454|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,891759,893384,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_3278|Metals|Copper_resistance|Copper_resistance_protein|HPCOPP,MEG_3278|Metals|Copper_resistance|Copper_resistance_protein|HPCOPP,201,1186177,1186377,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_3748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,MEG_3748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,3123,1432393,1435515,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_3712|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3712|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1617,1487137,1488753,+
